LINES_ID,PROB. OF SUCCESS,PROB. OF FAILURE
0,0.18298056129408805,0.817019438705912
1,0.18352011890684583,0.8164798810931542
2,0.21055462799486496,0.7894453720051351
3,0.27710215971988394,0.722897840280116
4,0.03181954180401686,0.9681804581959832
5,0.11451407277811879,0.8854859272218812
6,0.03457967245771029,0.9654203275422897
7,0.2572817750019322,0.7427182249980677
8,0.16200814596504226,0.8379918540349578
9,0.20308806375183594,0.796911936248164
10,0.07008482390660349,0.9299151760933965
11,0.08785089772545178,0.9121491022745483
12,0.04460583183327601,0.955394168166724
13,0.13070090168196397,0.869299098318036
14,0.10388807722213322,0.8961119227778668
15,0.017004711274039637,0.9829952887259603
16,0.14958147138251368,0.8504185286174863
17,0.1651114255146224,0.8348885744853776
18,0.20652102227024058,0.7934789777297594
19,0.16797426919623326,0.8320257308037667
20,0.13124222679152328,0.8687577732084767
21,0.08843851745191662,0.9115614825480833
22,0.10881171960647322,0.8911882803935268
23,0.27013109465828433,0.7298689053417157
24,0.0015470985182833798,0.9984529014817166
25,0.11038787125058402,0.889612128749416
26,0.03901908114530866,0.9609809188546914
27,0.19052584500389752,0.8094741549961024
28,0.12017221419254163,0.8798277858074584
29,0.05123066079111967,0.9487693392088803
30,0.05920078696930518,0.9407992130306948
31,0.05021493757895391,0.9497850624210461
32,0.0713414026698379,0.9286585973301621
33,0.11235783289425237,0.8876421671057476
34,0.2015325654107146,0.7984674345892854
35,0.1522873486473355,0.8477126513526645
36,0.007628009781155034,0.9923719902188449
37,0.16124876422479936,0.8387512357752006
38,0.18034536302780804,0.819654636972192
39,0.10860190522650393,0.8913980947734961
40,0.10884338700606405,0.8911566129939359
41,0.17441637533023144,0.8255836246697685
42,0.022134809100090948,0.9778651908999091
43,0.19541549556131074,0.8045845044386892
44,0.18053167097432526,0.8194683290256748
45,0.007456156288856454,0.9925438437111436
46,0.11848641719036081,0.8815135828096392
47,0.08848228012559906,0.9115177198744009
48,0.24485418569503245,0.7551458143049675
