,LINE,SWITCH_PROB
0,0,0.0001
1,1,0.30761884170244247
2,2,0.0001
3,3,0.0001
4,4,0.0001
5,5,0.06406253306198616
6,6,0.0001
7,7,0.07195315149734179
8,8,0.0453453185063039
9,9,0.2836901884607426
10,10,0.019673152703054364
11,11,0.0001
12,12,0.01255742957252709
13,13,0.0001
14,14,0.2612229332593836
15,15,0.0001
16,16,0.0001
17,17,0.0001
18,18,0.0001
19,19,0.0001
20,20,0.07340614540753214
21,21,0.07419680914194343
22,22,0.06087744895464498
23,23,0.22642505316568232
24,24,0.0001
25,25,0.0001
26,26,0.010997172754657322
27,27,0.05330968578175152
28,28,0.03366146121147855
29,29,0.0001
30,30,0.04970044039072014
31,31,0.02814785933448289
32,32,0.0001
33,33,0.2197535324805717
34,34,0.05638362115425886
35,35,0.0001
36,36,0.0001
37,37,0.045133239857415616
38,38,0.0001
39,39,0.06076025585435529
40,40,0.03049756848681483
41,41,0.14623199368816026
42,42,0.006281766242951435
43,43,0.10925051567402726
44,44,0.0001
45,45,0.0001
46,46,0.09937196535423815
47,47,0.0001
48,48,0.2736295945369047
49,49,0.002022016486873701
50,50,0.0001
51,51,0.0001
52,52,0.020290170818339708
53,53,0.08106786616634701
54,54,0.0001
55,55,0.0001
56,56,0.19506740802267153
57,57,0.0001
58,58,0.11229695024519165
59,59,0.0001
60,60,0.0001
61,61,0.0001
62,62,0.06831929484647813
63,63,0.0001
64,64,0.07855661768078984
65,65,0.09299810040286047
66,66,0.0001
67,67,0.0001
68,68,0.03658862863262432
69,69,0.02475533403509196
70,70,0.0001
71,71,0.13352536081130004
72,72,0.2701841714098432
73,73,0.0001
74,74,0.21620714759448778
75,75,0.08752047240219789
76,76,0.15002781660383765
77,77,1.0
78,78,0.0001
79,79,0.11097690512380148
80,80,0.0001
81,81,0.014924679205576148
82,82,0.03264328501462316
83,83,0.04821661201491035
84,84,0.060863208796693144
85,85,0.0001
86,86,0.0001
87,87,0.008154663369094891
88,88,0.08952525888421493
89,89,0.0001
90,90,0.03349575601800857
91,91,0.06698347186558049
92,92,0.0001
93,93,0.10533845333410782
94,94,0.0001
95,95,0.07805169449653318
96,96,0.026614156392787972
97,97,0.04918966163702399
98,98,0.15705622817887763
99,99,0.1349965514107833
100,100,0.0001
101,101,0.0032731640353877087
102,102,0.02715569944804705
103,103,0.033429790381043066
104,104,0.026212746097263286
105,105,0.4754612692226306
106,106,0.6025629296335056
107,107,0.0001
108,108,0.0001
109,109,0.051734583946976304
110,110,0.0001
111,111,0.0001
112,112,0.13963711242036864
113,113,0.07238758456394212
114,114,0.0001
115,115,0.0001
116,116,0.043478141386941484
117,117,0.0001
118,118,0.0001
119,119,0.029821515931305585
120,120,0.0001
121,121,0.1562861793561694
122,122,0.024911295048665915
123,123,0.014547777507507012
124,124,0.014562830126007502
125,125,0.09707778474600698
126,126,0.0001
127,127,0.061158858299152616
128,128,0.0001
129,129,0.0001
130,130,0.0001
131,131,0.0001
132,132,0.0001
133,133,0.0001
134,134,0.0001
135,135,0.0001
136,136,0.0001
137,137,0.0001
138,138,0.0001
139,139,0.0001
140,140,0.0001
141,141,0.0001
142,142,0.0001
143,143,0.0001
144,144,0.0001
145,145,0.0001
146,146,0.0001
147,147,0.0001
148,148,0.0001
149,149,0.0001
150,150,0.0001
151,151,0.0001
152,152,0.0001
153,153,0.0001
154,154,0.0001
155,155,0.0001
156,156,0.0001
157,157,0.0001
158,158,0.0001
